Karyawan_Id,Nama,Alamat,Jabatan_Id
1,Umi Fadillah,Alamat_1,1
2,Vina Saputra,Alamat_2,9
3,Kiki Lestari,Alamat_3,2
4,Joko Maulana,Alamat_4,2
5,Budi Maulana,Alamat_5,5
6,Umi Kurniawan,Alamat_6,8
7,Fatimah Saputra,Alamat_7,4
8,Citra Lestari,Alamat_8,3
9,Iqbal Pratama,Alamat_9,3
10,Abdullah Andriani,Alamat_10,2
11,Joko Syahputra,Alamat_11,4
12,Qori Sutanto,Alamat_12,1
13,Miko Syahputra,Alamat_13,6
14,Kiki Wijaya,Alamat_14,6
15,Tono Siregar,Alamat_15,1
16,Oki Wijaya,Alamat_16,9
17,Qori Fadillah,Alamat_17,6
18,Hana Siregar,Alamat_18,7
19,Umi Siregar,Alamat_19,4
20,Miko Maulana,Alamat_20,1
21,Hana Rahmawati,Alamat_21,6
22,Budi Nugroho,Alamat_22,1
23,Wawan Fadillah,Alamat_23,3
24,Tono Sutanto,Alamat_24,9
25,Nina Andriani,Alamat_25,10
26,Citra Kurniawan,Alamat_26,1
27,Iqbal Rahmawati,Alamat_27,7
28,Nina Andriani,Alamat_28,7
29,Nina Maulana,Alamat_29,7
30,Fatimah Pratama,Alamat_30,9
31,Tono Kurniawan,Alamat_31,1
32,Putri Syahputra,Alamat_32,6
33,Vina Siregar,Alamat_33,1
34,Nina Andriani,Alamat_34,8
35,Rizky Fadillah,Alamat_35,10
36,Tono Saputra,Alamat_36,3
37,Iqbal Fadillah,Alamat_37,5
38,Iqbal Nugroho,Alamat_38,3
39,Fatimah Rahmawati,Alamat_39,1
40,Budi Kurniawan,Alamat_40,6
41,Nina Syahputra,Alamat_41,2
42,Joko Saputra,Alamat_42,10
43,Umi Wijaya,Alamat_43,10
44,Hana Fadillah,Alamat_44,8
45,Dewi Siregar,Alamat_45,5
46,Tono Gunawan,Alamat_46,3
47,Gilang Gunawan,Alamat_47,6
48,Joko Wijaya,Alamat_48,10
49,Hana Nugroho,Alamat_49,8
50,Iqbal Sutanto,Alamat_50,8
51,Kiki Wijaya,Alamat_51,7
52,Kiki Maulana,Alamat_52,7
53,Zahra Syahputra,Alamat_53,3
54,Miko Syahputra,Alamat_54,3
55,Dewi Kurniawan,Alamat_55,8
56,Gilang Rahmawati,Alamat_56,2
57,Vina Sutanto,Alamat_57,1
58,Iqbal Andriani,Alamat_58,1
59,Vina Maulana,Alamat_59,1
60,Rizky Kurniawan,Alamat_60,5
61,Miko Nugroho,Alamat_61,7
62,Zahra Fadillah,Alamat_62,5
63,Umi Sutanto,Alamat_63,2
64,Lina Maulana,Alamat_64,8
65,Dewi Wijaya,Alamat_65,10
66,Budi Sutanto,Alamat_66,7
67,Eko Wijaya,Alamat_67,6
68,Zahra Maulana,Alamat_68,3
69,Yusuf Pratama,Alamat_69,1
70,Oki Pratama,Alamat_70,5
71,Oki Syahputra,Alamat_71,1
72,Citra Fadillah,Alamat_72,8
73,Hana Sutanto,Alamat_73,5
74,Eko Syahputra,Alamat_74,7
75,Nina Sutanto,Alamat_75,2
76,Wawan Andriani,Alamat_76,2
77,Dewi Saputra,Alamat_77,9
78,Eko Pratama,Alamat_78,3
79,Umi Gunawan,Alamat_79,5
80,Vina Syahputra,Alamat_80,9
81,Joko Pratama,Alamat_81,3
82,Joko Lestari,Alamat_82,1
83,Vina Siregar,Alamat_83,10
84,Dewi Lestari,Alamat_84,8
85,Rizky Gunawan,Alamat_85,9
86,Wawan Syahputra,Alamat_86,6
87,Gilang Lestari,Alamat_87,2
88,Miko Wijaya,Alamat_88,9
89,Lina Lestari,Alamat_89,2
90,Fatimah Gunawan,Alamat_90,8
91,Nina Saputra,Alamat_91,6
92,Yusuf Lestari,Alamat_92,9
93,Dewi Siregar,Alamat_93,6
94,Iqbal Lestari,Alamat_94,3
95,Abdullah Lestari,Alamat_95,8
96,Sari Fadillah,Alamat_96,8
97,Nina Rahmawati,Alamat_97,10
98,Lina Santoso,Alamat_98,5
99,Lina Syahputra,Alamat_99,9
100,Aisyah Siregar,Alamat_100,10
101,Budi Wijaya,Alamat_101,5
102,Xenia Maulana,Alamat_102,7
103,Wawan Rahmawati,Alamat_103,10
104,Miko Sutanto,Alamat_104,7
105,Budi Maulana,Alamat_105,6
106,Dewi Santoso,Alamat_106,4
107,Dewi Andriani,Alamat_107,1
108,Oki Saputra,Alamat_108,1
109,Dewi Kurniawan,Alamat_109,9
110,Yusuf Rahmawati,Alamat_110,3
111,Iqbal Lestari,Alamat_111,9
112,Miko Gunawan,Alamat_112,6
113,Xenia Gunawan,Alamat_113,2
114,Putri Nugroho,Alamat_114,3
115,Sari Sutanto,Alamat_115,7
116,Miko Santoso,Alamat_116,10
117,Fatimah Kurniawan,Alamat_117,10
118,Putri Saputra,Alamat_118,4
119,Rizky Gunawan,Alamat_119,10
120,Hana Nugroho,Alamat_120,7
121,Vina Santoso,Alamat_121,3
122,Hana Santoso,Alamat_122,5
123,Sari Wijaya,Alamat_123,7
124,Aisyah Andriani,Alamat_124,10
125,Rizky Maulana,Alamat_125,10
126,Vina Pratama,Alamat_126,1
127,Gilang Saputra,Alamat_127,9
128,Hana Maulana,Alamat_128,9
129,Tono Rahmawati,Alamat_129,4
130,Abdullah Maulana,Alamat_130,6
131,Hana Rahmawati,Alamat_131,5
132,Rizky Saputra,Alamat_132,5
133,Sari Kurniawan,Alamat_133,4
134,Hana Wijaya,Alamat_134,4
135,Gilang Wijaya,Alamat_135,10
136,Yusuf Saputra,Alamat_136,9
137,Yusuf Rahmawati,Alamat_137,1
138,Putri Fadillah,Alamat_138,3
139,Kiki Santoso,Alamat_139,8
140,Gilang Maulana,Alamat_140,3
141,Budi Fadillah,Alamat_141,6
142,Wawan Maulana,Alamat_142,5
143,Zahra Saputra,Alamat_143,1
144,Aisyah Rahmawati,Alamat_144,3
145,Dewi Santoso,Alamat_145,2
146,Zahra Fadillah,Alamat_146,4
147,Joko Rahmawati,Alamat_147,1
148,Joko Gunawan,Alamat_148,8
149,Nina Sutanto,Alamat_149,2
150,Gilang Kurniawan,Alamat_150,6
151,Fatimah Sutanto,Alamat_151,10
152,Tono Siregar,Alamat_152,9
153,Sari Nugroho,Alamat_153,1
154,Aisyah Rahmawati,Alamat_154,7
155,Miko Maulana,Alamat_155,6
156,Xenia Syahputra,Alamat_156,5
157,Yusuf Siregar,Alamat_157,8
158,Lina Gunawan,Alamat_158,9
159,Sari Maulana,Alamat_159,8
160,Zahra Pratama,Alamat_160,4
161,Vina Andriani,Alamat_161,8
162,Citra Syahputra,Alamat_162,5
163,Umi Rahmawati,Alamat_163,7
164,Joko Syahputra,Alamat_164,5
165,Fatimah Siregar,Alamat_165,4
166,Rizky Sutanto,Alamat_166,3
167,Nina Syahputra,Alamat_167,6
168,Yusuf Maulana,Alamat_168,7
169,Rizky Pratama,Alamat_169,10
170,Abdullah Sutanto,Alamat_170,3
171,Lina Kurniawan,Alamat_171,1
172,Joko Gunawan,Alamat_172,5
173,Rizky Lestari,Alamat_173,3
174,Aisyah Kurniawan,Alamat_174,3
175,Nina Nugroho,Alamat_175,1
176,Sari Kurniawan,Alamat_176,5
177,Iqbal Andriani,Alamat_177,4
178,Oki Nugroho,Alamat_178,4
179,Aisyah Andriani,Alamat_179,6
180,Fatimah Saputra,Alamat_180,5
181,Iqbal Sutanto,Alamat_181,8
182,Miko Maulana,Alamat_182,1
183,Oki Gunawan,Alamat_183,6
184,Lina Pratama,Alamat_184,3
185,Eko Sutanto,Alamat_185,4
186,Tono Saputra,Alamat_186,9
187,Joko Siregar,Alamat_187,9
188,Sari Rahmawati,Alamat_188,2
189,Dewi Rahmawati,Alamat_189,3
190,Wawan Sutanto,Alamat_190,10
191,Tono Kurniawan,Alamat_191,9
192,Putri Santoso,Alamat_192,7
193,Abdullah Lestari,Alamat_193,10
194,Aisyah Santoso,Alamat_194,4
195,Wawan Sutanto,Alamat_195,6
196,Tono Maulana,Alamat_196,4
197,Lina Gunawan,Alamat_197,2
198,Wawan Wijaya,Alamat_198,10
199,Kiki Andriani,Alamat_199,5
